                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44664.1667  04/13/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44664.2083  04/13/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44664.2500  04/13/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44664.2917  04/13/2022        0.0000       30.5796        0.0000        0.0000        0.0000        0.0000
  44664.3333  04/13/2022        0.0000       30.4856        0.0000        0.0000        0.0000        0.0000
  44664.3750  04/13/2022        0.0000       29.8849        0.0000        0.0000        0.0000        0.0000
  44664.4167  04/13/2022        0.0000       29.5088        0.0000        0.0000        0.0000        0.0000
  44664.4583  04/13/2022        0.0000       27.6584        0.0000        0.0000        0.0000        0.0000
  44664.5000  04/13/2022        0.0000       27.3482        0.0000        0.0000        0.0000        0.0000
  44664.5417  04/13/2022        0.0000       27.0556        0.0000        0.0000        0.0000        0.0000
  44664.5833  04/13/2022        0.0000       27.0087        0.0000        0.0000        0.0000        0.0000
  44664.6250  04/13/2022        0.0000       27.0377        0.0000        0.0000        0.0000        0.0000
  44664.6667  04/13/2022        0.0000       27.1627        0.0000        0.0000        0.0000        0.0000
  44664.7083  04/13/2022        0.0000       27.5473        0.0000        0.0000        0.0000        0.0000
  44664.7500  04/13/2022        0.0000       29.5181        0.0000        0.0000        0.0000        0.0000
  44664.7917  04/13/2022        0.0000       30.1170        0.0000        0.0000        0.0000        0.0000
  44664.8333  04/13/2022        0.0000       30.3739        0.0000        0.0000        0.0000        0.0000
  44664.8750  04/13/2022        0.0000       30.5826        0.0000        0.0000        0.0000        0.0000
  44664.9167  04/13/2022        0.0000       30.5825        0.0000        0.0000        0.0000        0.0000
  44664.9583  04/13/2022        0.0000       30.5824        0.0000        0.0000        0.0000        0.0000
  44665.0000  04/14/2022        0.0000       30.5824        0.0000        0.0000        0.0000        0.0000
  44665.0417  04/14/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44665.0833  04/14/2022        0.0000       30.5824        0.0000        0.0000        0.0000        0.0000
  44665.1250  04/14/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44665.1667  04/14/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44665.2083  04/14/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44665.2500  04/14/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
  44665.2917  04/14/2022        0.0000       30.5791        0.0000        0.0000        0.0000        0.0000
  44665.3333  04/14/2022        0.0000       30.4684        0.0000        0.0000        0.0000        0.0000
  44665.3750  04/14/2022        0.0000       29.8691        0.0000        0.0000        0.0000        0.0000
  44665.4167  04/14/2022        0.0000       29.4934        0.0000        0.0000        0.0000        0.0000
  44665.4583  04/14/2022        0.0000       27.5567        0.0000        0.0000        0.0000        0.0000
  44665.5000  04/14/2022        0.0000       27.0820        0.0000        0.0000        0.0000        0.0000
  44665.5417  04/14/2022        0.0000       26.8088        0.0000        0.0000        0.0000        0.0000
  44665.5833  04/14/2022        0.0000       26.7495        0.0000        0.0000        0.0000        0.0000
  44665.6250  04/14/2022        0.0000       26.7790        0.0000        0.0000        0.0000        0.0000
  44665.6667  04/14/2022        0.0000       26.9540        0.0000        0.0000        0.0000        0.0000
